sha,date,calls,prompt_tokens,output_tokens,total_tokens,flash_usd,sonnet_usd,subject
8644ec8,2026-07-28 15:15,275,42318866,168461,42487327,8.0904,32.3617,"feat: complete POS system with discounts, split payments, hardware backend, and EET 2.0 specs"
0efce86,2026-07-29 00:44,10,2968806,662,2969468,0.5257,2.1029,feat: integrate Python backend service with EET fiscalization and certificate management support
5d0f6e9,2026-07-29 16:01,611,75045844,216649,75262493,14.0393,56.1571,feat: Changes to the overall GUI
22fef4c,2026-07-29 19:16,219,9152524,38942,9191466,1.7592,7.0367,feat: Security and stability fixes
f6f2edf,2026-07-29 20:06,10,887386,579,887965,0.1586,0.6343,feat: security and stability implementation
2b37d05,2026-07-29 20:08,1,90287,102,90389,0.0163,0.0652,feat: implement catalog and preset management router and initialize Serena project configuration
131c92b,2026-07-29 23:34,9,822505,467,822972,0.1467,0.5869,feat: implement Litestream real-time database replication and add backend updater functionality
859e04b,2026-07-30 15:06,499,167304468,277282,167581750,30.5272,122.1089,feat: Security and stability fixes and preparation for card terminal
68ecaa4,2026-07-30 16:20,56,1212021,14574,1226595,0.2683,1.0731,feat: Translation fixes
0f31f7c,2026-07-31 23:03,671,67232009,160792,67392801,12.4526,49.8104,feat: multiple new features and fixes
6f641e5,2026-08-01 23:18,81,3323541,23494,3347035,0.6739,2.6955,feat: Mobile version handling
cb0daa5,2026-08-03 15:26,47,4914877,24587,4939464,0.9584,3.8338,feat: Email verification for QR payment
22bda01,2026-08-03 19:41,114,5870156,61168,5931324,1.264,5.056,feat: implement core POS frontend components and backend API services
9493260,2026-08-09 19:51,70,2338928,13159,2352087,0.4616,1.8463,fix(linux): align bash scripts with bat files and fix backend imports
432051e,2026-08-09 20:01,53,3896894,5122,3902016,0.706,2.8241,fix(build): ensure fresh UI bundle build on startup to include Sklad and new Navbar
f62f0ee,2026-08-10 08:55,62,3373558,15332,3388890,0.6521,2.6083,"feat(windows): add winget auto-install, bypass & UI build to bat scripts"
343cea2,2026-08-10 09:01,10,429587,4342,433929,0.092,0.368,fix(backend): dynamic SPA dist serving & robust browser launcher in bat scripts
a601fc3,2026-08-10 09:01,7,341746,2425,344171,0.0693,0.2773,fix(windows): quote start window titles and add Edge path fallback
9ec164d,2026-08-10 09:03,7,386619,1919,388538,0.0753,0.3014,fix(windows): enclose PowerShell Write-Host URL strings in parentheses to fix Customer cmdlet parsing error
be2a733,2026-08-10 11:31,1,58783,218,59001,0.0112,0.0447,"feat: Add Win32 ESC/POS raw printing, COM3 VFD display integration, receipt font/padding tuning, and backend sale deletion persistence"
5416893,2026-09-03 13:15,294,30686232,62693,30748925,5.6435,22.5742,docs: add security audit and future feature roadmap specifications
2c0dbfe,2026-09-03 13:15,1,221316,88,221404,0.006,0.1573,feat(db): integrate dynamic SQLite schema migrations into all launcher and updater scripts
6c690e8,2026-09-03 13:15,2,443052,285,443337,0.0792,0.3166,"fix(security): resolve sales purge header bypass, QR IBAN spoofing, and CORS vulnerabilities"
892d904,2026-09-03 13:15,1,221872,93,221965,0.0395,0.1578,"fix(stability): cap printer timeout, batch EET retries, frame GPE TCP stream, and add DB restore"
92f3c37,2026-09-03 13:16,1,222041,56,222097,0.0393,0.1574,"docs(serena): synchronize domain memories with migration engine, security, and restore APIs"
9c896e7,2026-09-03 14:16,191,57121194,48762,57169956,10.2505,41.0019,docs: partition mixed retail roadmap and archive specialized grocery backlog
a54e53c,2026-09-03 14:16,2,736844,246,737090,0.1308,0.5232,"feat(scanner): add global USB barcode listener and unknown barcode quick-add modal (RET-01, RET-02)"
52ccf7d,2026-09-03 14:17,1,368767,151,368918,0.0656,0.2622,"feat(checkout): add direct banknote tender chips, hero change banner, and coin breakdown (RET-03)"
39b80ee,2026-09-03 14:17,1,368992,81,369073,0.0653,0.2614,feat(printer): add 1-click thermal daily summary slip printout and drawer kick (RET-04)
83a3e9d,2026-09-03 14:17,1,369074,67,369141,0.0101,0.2612,docs(serena): update hardware and frontend component domain memories
155779e,2026-09-03 14:23,39,14913576,7536,14921112,2.6568,10.6271,"feat(audio): expand sound engine with delete tone, tactile keypad clicks, and test suite (RET-05)"
5fc52d3,2026-09-03 14:23,1,392778,55,392833,0.0694,0.2777,docs(serena): document procedural audio engine and touch feedback cues
e4799fb,2026-09-03 14:31,48,20303851,15110,20318961,3.6352,14.5409,refactor(payment): replace crowded banknote grids with authentic color-coded Czech notes and clean coin bar
27866cc,2026-09-03 14:37,32,14797014,13391,14810405,2.6582,10.6328,"style(payment): apply dark theme with white font, compact coins below notes, and style cash drawer button"
04d914d,2026-09-03 14:47,30,15028970,14885,15043855,2.7047,10.8187,"style(payment): restore light-adaptive modal theme, jewel-tone dark banknotes with white font, indigo drawer button, and separate reset button"
cab455c,2026-09-03 14:52,24,12897079,9039,12906118,2.307,9.228,style(presets): enlarge up and down quantity buttons to 48px with 22px chevrons in open price keypad modal
f3a8c5d,2026-09-03 15:01,25,14115261,7778,14123039,2.517,10.0679,fix(presets): align -1 stepper with register return semantics and cart refund detection
06bb1be,2026-09-03 15:38,110,74759920,58698,74818618,13.3966,53.5862,feat(settings): rework settings into touchscreen master-detail layout with auto-save
fd85266,2026-09-03 15:45,22,16961401,5248,16966649,3.0091,12.0365,feat(settings): convert language selector to touch segmented bar choice
6e4dc85,2026-09-03 16:14,98,80800323,32690,80833013,14.3636,57.4546,feat(settings): standardize tabs into 2-column grid and add diagnostics tab with live receipt preview
d930b02,2026-09-03 18:39,9,7850903,954,7851857,1.3873,5.5492,feat(ui): add customizable accent themes and navbar layout settings
